"AppName","AppVersion","InstallPaths","LastRunTime","Found","RegistrySummary"
"Mozilla Firefox","138.0.1 (x64 en-US)","C:\Program Files\Mozilla Firefox\firefox.exe","2025-05-10T17:44:09","True","(default)=138.0.1 | Acme_Inc_GFS_SW_Bool=1 | Acme_Inc_GFS_SW_Contract=Rabbit Season; Rabbit; Season | Acme_Inc_SW_Index_Value=1200 | Acme_Inc_SW_Prim_Manager=Daffy Duck; Daffy; Duck | Acme_Inc_SW_Tech_Owner=Elmer Fudd; Elmer; Fudd | CurrentVersion=138.0.1 (x64 en-US); 138.0.1; (x64; en-US) | (default)=138.0.1 | Acme_Inc_GFS_SW_Bool=1 | Acme_Inc_GFS_SW_Contract=Rabbit Season; Rabbit; Season | Acme_Inc_SW_Index_Value=1200 | Acme_Inc_SW_Prim_Manager=Daffy Duck; Daffy; Duck | Acme_Inc_SW_Tech_Owner=Elmer Fudd; Elmer; Fudd | CurrentVersion=138.0.1 (x64 en-US); 138.0.1; (x64; en-US)"
"NotePad++","8.8.1","F:\Program Files\Notepad++\Notepad++.exe","2025-05-10T17:28:31","True","DisplayName=Notepad++ (64-bit x64); Notepad++; (64-bit; x64) | DisplayVersion=8.8.1"
